,source,target,metaphor,linguistic_metaphor,implicit_meaning,object,properties,relations,visual_elaboration
1182,Containers For Money,Investments,806,That hedge fund is a golden purse with holes in its lining.,Appears wealthy but loses money through hidden flaws.,"Hedge fund, Golden purse","Golden exterior, damaged interior, leaking",Money escaping through hidden holes,A shiny golden purse with coins falling through holes in its torn lining.
1183,Substance Contained In Affecting Causes,Force,713,Success filled her with an intoxicating power.,Success makes someone feel drunk with power and confidence.,"Person, Power (visualized as liquid)","Intoxicating, filling, overwhelming",Power flowing into and through the person like a liquid,"A woman glowing with golden light, floating above ground, with swirling energy streams flowing through her body."
1184,Heat,Lust,1446,His desire was a slow-burning flame.,Persistent and gradually intensifying passion.,"Desire, Flame","Slow-burning, enduring, growing",Desire is compared to a flame that burns slowly but steadily,A small ember gradually growing into a bright flame within a human silhouette's chest.
1185,Weapons,Words,97,Her criticism was a carpet bombing of harsh words.,Overwhelming and destructive verbal attack.,"Criticism, Carpet bombing, Words","Harsh, Widespread, Destructive","Words falling like bombs, Creating widespread damage",Words shaped like bombs raining down from a person's mouth onto a devastated landscape below.
1186,Points (set Up In Spatial Configuration),Facts,654,These scattered facts need to be mapped out.,Disorganized information needs to be structured and organized.,"Facts, Map","Scattered, Disorganized, Needs structure",Facts being transformed from scattered state to organized map form,Floating paper scraps with facts transforming into an organized map with clear pathways and connections.
1187,Money,Time,307,Time inflation made every hour worth less than before.,Time is becoming less valuable and meaningful.,"Time, Hours, Money/Currency","Decreasing value, Inflation, Worthlessness",Time being treated like devaluing currency,"A melting clock face with dollar signs dripping down, surrounded by deflating time bubbles."
1188,Unity (of Two Complementary Parts),Love,451,Love is a dance of yin and yang.,Love is a harmonious balance between opposing forces.,"Love, Yin and Yang symbol, Dance","Flowing, balanced, circular, harmonious",Dancing movement between black and white elements,"Two dancers forming a yin-yang symbol, one in black, one in white, gracefully spinning together."
1189,Alive,Active,1783,Their business grows like a thriving organism.,Continuous and healthy expansion.,"Business, Living organism","Growing, Thriving, Expanding","Business is compared to a living, growing entity",A tree-shaped office building with branches sprouting new offices and green leaves of dollar bills.
1190,Locations,Emotions,861,His anger was a volcanic wasteland.,Destructive and intense rage that leaves nothing but devastation.,"Anger, Volcano, Wasteland","Hot, destructive, barren, desolate",Anger transforms surroundings into a scorched landscape,"A man's face emerging from an erupting volcano, surrounded by charred and smoking earth."
1191,Contact With Physical Self,Effect On Emotional Self,1504,Each conscious breath pressed against her chest painted colors in her gray mood.,Breathing brings emotional relief and happiness to sadness.,"Breath, chest, colors, mood","Gray, colorful, conscious, pressed","Breath transforms gray to color, pressing against chest",A gray figure with a rainbow bursting from their chest with each visible breath.
1192,Constructed Objects,Theories,1698,Their theory is a maze of interconnected corridors.,Complex and confusing to navigate through.,"Theory, Maze","Complex, interconnected, confusing",Theory is represented as a physical maze structure,A floating 3D maze with glowing text fragments flowing through its twisting corridors.
1193,Motion (location),Change,519,The company is navigating through troubled waters.,The company is facing difficult challenges and uncertainty.,"Company, Ship, Stormy Waters","Turbulent, Dangerous, Challenging","Moving through, Struggling against","A small ship with a company logo sailing through dark, stormy waves with lightning overhead."
1194,Material,Personality,1772,"Their friendship is woven from elastic fabric, stretching but never breaking.",A resilient and flexible relationship that endures despite challenges.,"Friendship, Elastic fabric","Stretchy, Durable, Flexible, Woven","Stretching without breaking, maintaining connection",Two hands connected by a glowing elastic fabric that stretches between them while emitting a warm light.
1195,Climate,External Conditions,374,The economic forecast shows sunny skies ahead.,Positive financial outlook and prosperity.,"Economic forecast, Sky","Sunny, bright, optimistic",Future prediction of economy represented through weather,A business chart arrow pointing upward transforms into a bright sun breaking through clouds.
1196,Entities Within A Person,Emotions,998,My inner architect builds walls around vulnerability.,Self-protection through emotional barriers.,"Architect, walls, vulnerability","Inner, protective, defensive",Building walls to shield vulnerability,"A miniature architect building brick walls around a glowing, exposed heart."
1197,Getting A Burden,Intoxication,45,The weight of drinks stacked up like bricks on his consciousness.,Accumulating intoxication leading to mental heaviness and impairment.,"Drinks, Bricks, Consciousness","Heavy, Stacked, Weighing down",Drinks are metaphorically crushing consciousness like stacked bricks,"A head with glass bricks filled with alcohol stacked precariously on top, pressing down on a drowsy face."
1198,Control Over Relative Location,Causation,1896,The investment pulled the economy out of recession.,Financial rescue from a downward situation.,"Investment, Economy, Recession","Pulling force, downward state, rescue action",Investment acts as rescuer pulling economy upward from below,"A strong rope labeled ""Investment"" pulling a drowning figure labeled ""Economy"" out of a dark whirlpool labeled ""Recession""."
1199,Kinship,Relationship,187,Their love is a family heirloom that can't be broken.,Enduring and precious love passed down through generations.,"Love, Family Heirloom","Unbreakable, Precious, Ancient","Preservation across time, Family connection","An antique golden locket with family photos inside, surrounded by a protective crystal heart shield."
1200,Up,Control,1119,Their grip on power shot upward.,Rapid increase in authority or control.,"Grip, Power","Upward movement, Sudden acceleration","Hand holding/gripping, Vertical ascent",A hand gripping a glowing orb rockets skyward with a fiery trail behind it.
1201,Physical Forces,Psychological Forces,473,The trauma created an emotional inertia that resisted change.,Emotional stagnation due to past hurt.,"Trauma, Emotional state, Physical inertia","Heavy, Resistant, Immobile",Trauma causes emotional resistance to movement/change,"A person trapped in a heavy glass cube, pushing against its walls while shadows of past memories swirl outside."
1202,Weapons,Words,95,Their words were landmines scattered throughout the conversation.,Dangerous and explosive speech that can cause harm unexpectedly.,"Words, Landmines, Conversation","Explosive, dangerous, hidden, harmful",Words are compared to hidden explosives within speech,Speech bubbles with embedded glowing landmines floating between two talking faces.
1203,Being In A Harmful Location,Harm,174,He's dancing on thin ice.,Engaging in risky or dangerous behavior.,"Person, Ice","Thin, Fragile, Cracking",Dancing precariously on unstable surface,A person performing ballet moves on cracking ice with visible cracks spreading beneath their feet.
1204,Musical Harmony,Interpersonal Harmony,1640,Their relationship is a well-tuned symphony.,Harmonious and perfectly coordinated.,"Relationship, Symphony","Well-tuned, harmonious, coordinated",Two people working together like musical instruments in harmony,Two people dancing while their bodies transform into musical notes flowing on a staff.
1205,Moving To A Location (here),Creating,918,The artwork has reached its final destination.,The artwork is complete or finished.,"Artwork, Destination","Final, Complete, Journey's end",Movement from creation to completion,A painting walking through a finish line ribbon with a satisfied smile.
1206,Benefical Possession,Hope,1439,Hope is a preserved masterpiece in life's gallery.,"Hope is precious and enduring, worthy of protection and admiration.","Hope, Masterpiece, Gallery","Preserved, Valuable, Protected",Hope is being displayed and protected like a precious artwork,"A glowing painting under glass, radiating light in an elegant museum gallery with spotlights."
1207,Change Of Direction,Change Of State,1632,Their relationship veered off into friendship.,A romantic relationship changing direction unexpectedly into platonic friendship.,"Relationship path, Vehicle on road","Changing direction, Movement, Deviation","Moving from one path to another, Turning away",A car turning off a red heart-lined road onto a blue friendship-lined path.
1208,Cover,Darkness,941,Darkness wore its velvet cover like a cloak.,Night is enveloping and luxurious.,"Darkness, Velvet cloak","Soft, enveloping, smooth, luxurious",Darkness is personified as wearing the night like clothing,A shadowy figure draped in flowing black velvet that blends into the night sky with stars scattered across its fabric.
1209,Child,Hope,966,"Hope asks ""why"" like a curious child.",Hope is innocent and persistently questioning like a child's natural curiosity.,"Hope, Child","Curious, questioning, innocent",Hope is personified as a child asking questions,"A glowing child-like figure made of light repeatedly writing ""why"" on an endless wall."
1210,An Offensive Weapon,Sexuality,254,"She kept her sexuality holstered, concealed from view.","Hidden and controlled, like a weapon kept out of sight.","Sexuality, Holster","Concealed, Hidden, Controlled",The sexuality is treated like a weapon that's deliberately hidden in a holster,"A leather holster with a glowing pink heart tucked inside, partially covered by a dark cloth."
1211,Having A Harmful Possession,Harm,434,Their toxic memories were thorny vines choking their future.,Past traumas prevent growth and progress.,"Memories as thorny vines, Future as a plant or path","Toxic, thorny, choking, restrictive",Vines actively strangling and constraining growth,"Dark thorny vines wrapping tightly around a bright seedling, preventing it from growing upward."
1212,Covers For The Facts,Theories,852,Scientific theories are transparent veils that both reveal and conceal the facts beneath.,Scientific theories provide partial understanding while obscuring complete truth.,"Scientific theories, veils, facts","Transparent, partially revealing, partially concealing",Veils covering and revealing underlying facts,"A floating translucent veil with equations written on it, partially revealing glowing truth symbols underneath."
1213,Journey,Longterm Purposeful Activity,1270,This project is a winding mountain path with many switchbacks ahead.,Complex and challenging journey with many changes in direction.,"Project, Mountain path","Winding, multiple switchbacks, steep",Project is compared to a difficult mountain journey,A zigzagging path climbing up a steep mountain with warning signs at each sharp turn.
1214,Linked Objects,Causes And Effects,73,The web of causation catches all actions in its threads.,Every action has interconnected consequences that cannot escape their effects.,"Spider web, Actions","Interconnected, Inescapable, Entangling",Actions being caught and connected within the web structure,"A giant spider web with glowing threads, where human actions appear as trapped butterflies connected by silvery strands."
1215,Control Over An Object Relative To A Possessor,Causation,39,She handled the levers of influence.,Control and manipulation of power.,"Woman, levers, control panel","Mechanical, controlling, powerful",Person manipulating mechanisms of power,A woman at a control panel pulling giant levers that connect to puppet strings controlling silhouettes of people below.
1216,Forces Between The Desired And The Desirer,Desires,1522,Desire's elastic bands stretch between present reality and future dreams.,Tension between current situation and aspirations.,"Elastic bands, Present reality, Future dreams","Stretching, Tension, Distance",Connecting present to future through tension,A person pulling elastic bands between a concrete platform and a floating cloud of dreams.
1217,Competition For Desired Objects,Competition,543,Rivals are scavengers scrambling for the remaining crumbs.,Desperate competition for limited resources.,"Rivals, Scavengers, Crumbs","Desperate, Competitive, Limited",Multiple entities fighting over scarce resources,Vultures in business suits aggressively fighting over scattered breadcrumbs on a barren ground.
1218,Replacement,Change,349,The replacement was a fresh set of legs in a marathon.,New energy and renewed vigor in an ongoing task.,"Runner, Marathon race, Fresh legs","New, energetic, refreshed, vigorous",Replacing tired runner with energetic one during ongoing race,A glowing pair of legs sprinting past exhausted runners in a marathon race.
1219,Container For The Self,Body,1742,My flesh is a sacred temple holding my soul.,The body is divine and houses something precious.,"Human body, Temple","Sacred, divine, protective",Body contains and protects soul like temple houses sacred artifacts,A glowing human silhouette shaped like a temple with stained glass windows and a bright orb floating inside.
1220,Fashions,Beliefs,732,"People try on beliefs like new outfits, seeing which ones fit their personality.",Beliefs are temporary and changeable like clothing choices.,"Beliefs, Clothing, People","Changeable, Fitting, Temporary",People actively trying different beliefs like clothes in a fitting room,A person in a dressing room mirror trying on different thought bubbles like clothing items hanging on a rack.
1221,Shapes,States,428,The state's development follows a spiral of progress.,Continuous upward advancement that builds upon itself.,"State development, Spiral","Upward movement, Circular motion, Progressive growth",Development moving along a spiral path upward,A 3D spiral staircase rising upward with each step labeled with development milestones.
1222,Forward Motion,Progress Of External Events,1405,The river of events flows endlessly downstream.,Time and events are continuous and unstoppable.,"River, Events","Flowing, Endless, Continuous",Events are depicted as water moving downstream,A winding river filled with floating calendar pages and clock faces moving downstream.
1223,Self-propelled Motion,Self-initiated Change Of State,1860,She walked herself into a new career path.,Making progress towards a new professional direction.,"Person, Path","Walking, New direction, Career-related",Movement forward on a transforming path,A woman walking on a winding path that transforms from regular pavement into golden stepping stones with different career symbols.
1224,Cloth,Theories,316,The theory was seamlessly integrated into existing knowledge.,Perfect fit and smooth combination of ideas.,Theory and knowledge,"Seamless, integrated, fitting together","Merging, combining, fitting",Two puzzle pieces perfectly interlocking with a glowing light at their connection point.
1225,Beings With A Life Cycle,Beliefs,202,His outdated beliefs were fossils from a bygone era.,Old and unchanging ideas that are no longer relevant.,"Beliefs, Fossils","Ancient, outdated, preserved, rigid",Beliefs are compared to preserved remains from the past,"A human brain partially fossilized in stone, with ancient dinosaur bones surrounding it."
1226,Birthing,Creating,396,The team midwifed the project through its final stages.,Carefully guiding and nurturing something to completion.,"Team members, Project (as a baby)","Nurturing, careful handling, guidance",Team acting as midwives to deliver/complete the project,A group of people in medical scrubs gently delivering a glowing document from a briefcase.
1227,Covers For The Facts,Theories,855,Theoretical coverings can wear thin at the edges of discovery.,Scientific theories become less reliable when pushed to explain new discoveries.,"Theoretical coverings (represented as fabric/cloth), Edges (boundaries)","Worn, thin, fraying",The fabric wearing thin at its edges represents theories breaking down at their limits,"A worn fabric map of scientific formulas with frayed, transparent edges revealing new discoveries beneath."
1228,Cover,Darkness,944,Darkness draped its heavy curtain across the sky.,Night falling and enveloping everything in darkness.,"Darkness, Sky, Curtain","Heavy, Draping, Covering",Darkness is personified as actively covering the sky like a curtain being drawn,A giant black curtain being pulled across a bright sky by shadowy hands.
1229,Up,Rational,1659,They elevated their discourse to rational heights.,The conversation became more intellectual and sophisticated.,"Discourse, Height/Elevation","Rising, Ascending, Intellectual",Movement upward from lower to higher level,Two people standing on floating platforms that rise higher as speech bubbles between them transform from simple shapes to complex equations.
1230,Locations,Emotions,864,Anxiety is a maze of dark alleyways.,"Feeling lost, confused, and trapped in fearful thoughts.","Anxiety, maze, alleyways","Dark, confusing, endless, threatening",Person trapped within the maze structure,A person standing at the center of shadowy intersecting alleyways with looming walls and no visible exit.
1231,Becoming Electrified,Intoxication,1234,The power surge of alcohol lit up his consciousness.,Sudden intense intoxication affecting mental state.,"Consciousness, electricity/power surge, alcohol","Sudden, intense, illuminating",Alcohol causing a surge-like effect in mind,"A human brain glowing with electrical sparks, filled with swirling amber liquid."
1232,Region In A Landscape,Problem,1830,The problem is a vast desert stretching endlessly before us.,The problem seems overwhelming and insurmountable.,"Desert, Problem, Observer","Vast, Endless, Barren","Observer facing the desert, Desert stretching ahead",A tiny person standing at the edge of an endless desert with towering dunes disappearing into the horizon.
1233,"Touching, Eyes Are Limbs",Seeing,162,Her eyes wandered through the crowded room.,Searching or scanning without focus.,"Eyes, Room, Crowd","Moving, Wandering, Crowded",Eyes moving independently through space like floating entities,Two disembodied eyes floating through a maze of silhouetted people in a crowded space.
1234,Madness,Strong Emotions,1562,Love drove her through the asylum gates of reason.,Love made her lose her rational thinking and sanity.,"Love, Person, Asylum Gates","Destructive, Uncontrollable, Insane",Love is forcing person through gates of madness,A woman being pushed through broken asylum gates by a giant glowing heart with wings.
1235,Perceptions,Ideas,1200,Our perceptions filter ideas like sunlight through stained glass.,Our minds transform and color how we understand ideas.,"Perceptions, ideas, sunlight, stained glass","Filtering, transforming, coloring, distorting",Ideas passing through perceptions like light through glass,"A human head made of stained glass with colorful light beams passing through it, projecting transformed shapes."
1236,Self-propelled Motion,Action,1909,Their success bounded over limitations.,Achievement overcoming obstacles with ease and energy.,"Success, limitations/obstacles","Energetic, jumping, overcoming",Success actively leaping over barriers,"A golden kangaroo leaping over a series of concrete walls, leaving a trail of stars."
1237,Madness,Strong Emotions,1565,Passion prescribed a daily dose of chaos.,Strong emotions lead to disorder and unpredictability.,"Passion, Medicine/Prescription, Chaos","Daily, Medical, Uncontrolled",Passion acts as a doctor prescribing chaos as medicine,A heart-shaped pill bottle spilling swirling colorful tornado-like contents onto a prescription pad.
1238,Change Of Direction,Change Of State,1634,His confidence swerved into self-doubt.,Sudden shift from certainty to uncertainty.,"Confidence, Self-doubt","Movement, Direction change, Transformation",Swerving from one state to another,"A straight road suddenly curving into a dark, foggy path with warning signs."
1239,Injuries,Effects Of Humor,685,Their shared jokes were stitches binding their friendship together.,Jokes strengthen and maintain relationships like stitches hold fabric together.,"Jokes, Stitches, Friendship","Binding, Connecting, Strengthening",Jokes act as stitches that hold friendship together like thread holds fabric,"Two smiling faces connected by golden thread stitches with small ""ha ha"" text woven into each stitch."
1240,Line,Light,102,Dawn's light sketched the horizon's endless line.,The sunrise creates a visual boundary between earth and sky.,"Dawn's light, horizon","Artistic, linear, endless",Light acting as an artist drawing a line,A golden pencil made of sunlight drawing a straight line between dark earth and brightening sky.
1241,Location (here),Existence,692,The doorway of now opens to being.,Present moment leads to existence and consciousness.,"Doorway, Present moment (now), Being/existence","Opening, transitional, transformative",Doorway connects present moment to state of being/existence,"A glowing doorway floating in space with light streaming through, revealing a cosmic human silhouette."
1242,Container (bounded),Time,663,His schedule was an overflowing box of commitments.,Too many tasks and responsibilities overwhelming someone.,"Schedule, Box","Overflowing, Full, Cluttered",Commitments spilling out of container,A businessman struggling to hold a cardboard box with papers and calendars spilling over the edges.
1243,Body,Society,1706,Economic growth is society's metabolism.,Economic activity functions like a living organism's metabolic processes.,"Economy, Metabolism","Continuous flow, Energy conversion, Growth cycles",Society functions as a living organism with economic processes as its metabolic system,A human body outline filled with flowing currency symbols and economic graphs instead of blood vessels.
1244,Change,Disparity,574,Change is a river that carves deeper channels between different shores.,Change is a powerful force that creates permanent paths and divisions.,"River, Shores, Channels","Flowing, Carving, Deep, Different",River actively carving and separating shores,"A powerful river cutting through rocky terrain, creating deep canyons between two contrasting landscapes."
1245,An Activated Machine,Lustful Person,1724,His operational mode switched to maximum intensity.,Someone becoming extremely focused or aggressive suddenly.,"Person, Machine/Switch","Intensity, Mechanical operation, Sudden change",Transformation from normal to intense state,"A person's face with a large mechanical switch flipping from ""normal"" to ""maximum,"" eyes glowing red."
1246,Motion,Form,898,The geometry soars upward like a bird.,"Mathematical shapes and forms have an uplifting, free-flowing movement.","Geometric shapes, Bird","Ascending, Flying, Dynamic",Geometric shapes taking on bird-like movement upward,Triangles and squares transforming into birds flying upward against a blue sky.
1247,Batteries,People,845,"Their connection creates a powerful circuit, energizing everyone around them.",Their relationship generates positive energy and influence on others.,"Two people, electrical circuit","Powerful, energizing, radiating",Connection between people affecting surroundings,Two people holding hands forming a glowing circuit with electric sparks radiating outward to surrounding figures.
1248,Path Over Which Motion Occurs,Means Of Change,1713,Their ascent up the mountain revealed new horizons of change.,Progress leads to new opportunities and perspectives.,"Mountain, Horizon, People climbing","Upward movement, Expanding view, Transformation",Climbing reveals broader vistas and possibilities,Climbers reaching a mountain peak with multiple colorful doorways floating in the sky ahead.
1249,Nausea,Disgust,524,The nausea of corruption rose like bile in the public conscience.,Societal disgust towards widespread corruption.,"Bile, Public conscience","Rising, Nauseating, Sickening","Bile rising up through society, causing collective disgust",A crowd of people with green bile rising from their throats while politicians count money above them.
1250,Machine,Mind,330,"The mind is a well-oiled machine, processing thoughts with mechanical precision.",Efficient and smooth mental processing.,"Mind, Machine","Well-oiled, Precise, Mechanical",Processing thoughts smoothly like a machine processes materials,A human head with visible gears and cogs turning smoothly inside a transparent skull.
1251,An Activated Machine,Lustful Person,1720,His gears were spinning at full speed when he saw her.,Intense mental activity or rapid thinking due to excitement.,"Human brain, mechanical gears","Spinning, fast movement, mechanical motion",Person seeing someone and their mind racing,A person's head with transparent skull showing rapidly spinning golden gears instead of a brain.
1252,Physical Injury,Harm,634,Her trust was bruised and swollen from repeated disappointments.,Trust has been damaged through multiple emotional injuries.,"Trust, physical injuries (bruises, swelling)","Damaged, hurt, vulnerable",Trust is being treated as a physical body that can be injured,"A heart covered in purple bruises and bandages, with visible swelling and dark spots."
1253,Being In A Harmful Location,Harm,173,She's swimming with sharks.,Being in a dangerous situation with ruthless people.,"Woman, Sharks, Business setting","Threatening, Predatory, Dangerous",Woman surrounded by threatening figures,A businesswoman in a suit swimming in dark waters surrounded by sharks wearing neckties and holding briefcases.
1254,Changer,Time,481,Time is the ultimate makeover artist.,Time changes and transforms everything gradually.,"Time, Makeover artist","Transformative, Gradual, Powerful",Time actively changes and transforms like an artist working on their subject,A clock-faced figure with artist brushes painting age lines and wrinkles on a young face.
1255,Moving Object,Schedule,66,The schedule is zigzagging like a pinball.,Chaotic and unpredictable movement or changes.,"Schedule, Pinball","Erratic, bouncing, unpredictable",Schedule moving/changing like a pinball in a machine,"A calendar page bouncing between colorful bumpers in a pinball machine, leaving a zigzag trail."
1256,Tightness,Complience,1498,The compliance screws needed careful adjustment.,Rules and regulations need fine-tuning to maintain control.,"Screws, Compliance (rules/regulations)","Adjustable, mechanical, precise",Tightening or loosening to achieve balance,"A giant mechanical dial with ""Compliance"" labeled, being carefully adjusted by hands wearing white gloves."
1257,Location (here),Existence,695,Here weaves the fabric of being.,Life is an interconnected tapestry of experiences and existence.,"Fabric, Being (existence/life)","Woven, Interconnected, Continuous",The act of weaving creates the pattern of existence,A cosmic loom weaving glowing threads of life into a shimmering tapestry of stars and human forms.
1258,Points (set Up In Spatial Configuration),Facts,652,The central fact anchors all supporting details.,A main idea holds together related information like an anchor holds a ship.,"Central fact, supporting details","Stable, connected, anchored",Main fact anchors/holds/stabilizes other details,A large golden anchor in the center with multiple chains radiating outward connecting to floating document pages.
1259,Possessions,Properties,87,Possessions are the mirrors of property value.,Material possessions reflect one's wealth and status.,"Mirrors, Possessions","Reflective, Valuable",Possessions acting as reflectors of wealth,"A large ornate mirror reflecting luxury items like jewelry, cars, and houses instead of a person's reflection."
1260,Control Over Relative Location,Causation,1895,His words drove the crowd to action.,Words have motivating power and influence over people.,"Words, Crowd","Forceful, Moving, Directional",Words acting as a driving force pushing people forward,A stream of glowing words pushing a mass of people forward like a wave.
1261,Entities Within A Person,Emotions,996,My inner healer tends to emotional wounds.,Self-care and emotional healing process.,"Inner healer, emotional wounds","Nurturing, healing, caring",Tending to/treating wounds,A glowing figure applying bandages to floating red heart with visible cracks and wounds.
1262,Contagious Diseases,Dangerous Beliefs,1617,These harmful beliefs mutated into even more dangerous forms.,"Ideas evolving into worse versions of themselves, like a virus mutating.","Beliefs, Mutations","Harmful, Dangerous, Transforming",Evolution from one dangerous form to another,A dark thought bubble morphing into a menacing virus with sharp spikes and glowing red eyes.
1263,Objects,Ideas,1284,Their ideas are mirrors reflecting society's truths.,Ideas reveal and show reality as it truly is.,"Ideas, Mirrors, Society's truths","Reflective, Revealing, Clear",Ideas act as mirrors that reflect societal realities,"Multiple floating mirrors showing different scenes of social life, with thought bubbles emerging from each reflection."
1264,Batteries,People,840,"Some people are like rechargeable batteries, bouncing back after every drain.",Resilience and ability to recover from exhaustion.,"Person, Battery","Rechargeable, Resilient, Energetic","Draining and recharging cycle, Recovery process","A smiling person with battery indicators on their chest, cycling from empty to full repeatedly."
1265,Wealth,Well-being,1730,A wealth of happiness flows like a golden river through life.,Abundance of joy and contentment moving continuously through one's existence.,"River, Gold, Happiness","Flowing, Golden, Abundant",Movement through life's path,"A shimmering golden river flowing through a landscape, carrying smiling faces and hearts in its current."
1266,Getting A Burden,Intoxication,40,The weight of intoxication pressed down on his shoulders.,Being drunk feels like a heavy physical burden.,"Shoulders, Weight, Intoxication","Heavy, Pressing, Burdensome",Weight pressing down on person's shoulders,A hunched man with wine bottles and glasses stacked heavily on his drooping shoulders.
1267,Making Visible,Creating,1100,The fog of imagination lifts to reveal creation.,Creative clarity emerging from mental haziness.,"Fog, Creation","Lifting, Revealing, Ethereal",Fog dissipating to show something hidden beneath,A dense fog parting to reveal a colorful artwork emerging from a blank canvas.
1268,Entities Inside A Person,Abilities,407,The fortress of his mind protects his learned abilities.,Knowledge and skills are securely stored and protected within one's mind.,"Mind, Fortress, Knowledge","Strong, Protective, Secure",The fortress (mind) serves as protection for knowledge within,"A stone fortress with books and scrolls visible through its windows, surrounded by thick defensive walls."
1269,Musical Harmony,Interpersonal Harmony,1645,The community's rhythm flows in perfect time.,Harmony and synchronization within a group of people.,"Community, Musical rhythm","Flowing, Synchronized, Harmonious","Movement in unison, Coordinated flow","People dancing in a circle, their bodies forming a flowing musical staff with musical notes."
1270,Being On The Mind,Receiving Serious Thought,723,The idea has carved out its own space in my thoughts.,An idea becoming permanently established in one's mind.,"Idea, Thoughts, Space","Carved, Permanent, Physical space",The idea actively creating a physical space within thoughts,A chisel carving a glowing idea symbol into a brain-shaped stone sculpture.
1271,Temporal Precedence,Causal Precedence,673,Time's dominoes fall in a chain of causation.,Events in time trigger each other in sequence.,"Time, Dominoes","Sequential, Falling, Connected",One event causes another in a continuous chain,"Clock-faced dominoes falling in sequence, each piece triggering the next along a curved path."
1272,Forces Affecting,External Events Affecting Progress,270,The headwinds of market volatility buffeted the company's progress.,Market challenges are impeding business growth.,"Company, Wind","Strong, opposing force, unstable movement",Wind pushing against forward movement,A corporate building shaped like a ship struggling against powerful stormy winds on rough seas.
1273,Shopping,Comparing And Seeking,290,Life is a shopping cart filled with choices and decisions.,Life presents us with multiple options and decisions we must select from.,"Shopping cart, Life","Filled, containing multiple items",Choices and decisions are items that can be selected or left behind,A shopping cart overflowing with glowing orbs labeled with different life choices and crossroads signs.
1274,Containers,Difficulties,1127,"Difficulties are like vacuum-sealed containers, requiring the right tools to breach.",Problems need specific solutions to be overcome.,"Vacuum-sealed containers, tools","Tightly sealed, difficult to open, requires specific tools",Container needs correct tool to be opened/breached,"A person holding various tools trying to open a glowing, tightly sealed container with warning labels."
1275,Competition,Theoretical Debate,1163,The debate was a marathon of intellectual endurance.,Long-lasting and mentally exhausting.,"Debate, Marathon","Endurance, Mental strain, Length","Debate is compared to a physical marathon, suggesting extended duration and exhaustion","Two people running on a track made of books, wearing graduation caps and sweating profusely."
1276,Containers,Obligations,1555,She emptied the containers of expired obligations.,Getting rid of old commitments or responsibilities that are no longer relevant.,"Containers, obligations","Expired, empty, discarded",Person actively disposing of or removing contents,A woman dumping trash bins filled with crumpled calendar pages and old contracts into a dumpster.
1277,Injuries,Effects Of Humor,684,His comedy routine was emergency surgery for their depression.,Comedy acts as a healing force for emotional pain.,"Comedy routine, Surgery, Depression","Emergency, Healing, Medical, Therapeutic",Comedy performing a healing function on emotional state,A laughing doctor in a jester's hat operating on a dark cloud with surgical tools that emit colorful bubbles.
1278,Children wrt Development,Ideas,1393,"Young ideas, like children, need room to play and experiment.",Ideas need freedom to develop and grow.,Ideas and children,"Young, playful, experimental",Ideas are compared to children needing space to develop,Glowing light bulbs playing on a playground with childlike arms and legs.
1279,People wrt Opinions,Theories,1211,"Some theories, like opinionated crowds, create a deafening echo chamber.",Ideas that reinforce themselves without external input become overwhelming and isolating.,"Theories, Crowds, Echo Chamber","Deafening, Opinionated, Enclosed",Theories are compared to crowds that create echoes in an enclosed space,"A circular chamber filled with shouting faces, their words bouncing off mirrored walls in endless repetition."
1280,Becoming Electrified,Intoxication,1237,Waves of intoxicating voltage pulsed through her system.,Intense emotional or physical excitement.,"Waves, Voltage, Human body system","Intoxicating, Pulsing, Electric",Movement through the body system in wave patterns,A woman's silhouette filled with glowing electric waves rippling through her transparent body.
1281,Beings With A Life Cycle,Beliefs,208,"Their beliefs hibernated during times of prosperity, awakening in crisis.",Beliefs become dormant when not needed but resurface during difficult times.,Beliefs personified as a hibernating animal,"Dormant, sleeping, awakening",Transition from sleep to wakefulness triggered by crisis,"A bear emerging from a cave labeled ""beliefs"" as storm clouds gather overhead."
1282,Entities Inside A Person,Abilities,404,Her inner light illuminates her musical talents.,Her natural gifts shine through her music.,"Inner light, Musical talent","Glowing, Radiant, Musical",Light revealing/highlighting musical ability,A woman playing piano with golden light radiating from her heart through musical notes floating around her.
1283,Motion,Emotion,749,Their friendship swayed like pendulums in perfect sync.,A harmonious and balanced relationship.,"Friendship, Pendulums","Synchronized, Rhythmic, Balanced",Moving together in harmony,"Two identical pendulums swinging side by side with smiling faces, connected by a glowing thread."
1284,Open Paths,Opportunities,1918,The fog lifts to reveal countless trails ahead.,Clarity emerging from confusion about life choices.,"Fog, trails","Lifting fog, multiple paths","Revealing, branching forward",A dense fog parting to show multiple winding paths diverging toward a bright horizon.
1285,Fashions,Ideas,410,"Old ideas, like last season's fashions, get tucked away in the back of our mental closets.",Outdated thoughts are stored and forgotten like old clothes.,"Mental closet, old clothes, ideas","Outdated, forgotten, stored away",Ideas being stored like clothes in a closet,A brain-shaped closet with dusty lightbulbs hanging on clothes hangers pushed to the back.
1286,Constructed Objects,Theories,1692,Their theory is a fortress built on sand.,Unstable foundation despite appearing strong.,"Fortress, sand, theory","Unstable, crumbling, temporary",Structure built on weak foundation,A grand stone fortress tilting and cracking as its sandy foundation erodes away.
